Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,"Matrix Partners, L.P.","Matrix Partners VI, L.P.",20.00
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,North Bridge Venture Partners LP,North Bridge Venture Partners - Unspecified Fund,20.00
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Oak Investment Partners,Oak Investment Partners - Unspecified Fund,7.30
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Photonics Fund L P,Photonics Fund,-
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Silicon Valley Bancventures LP,"Silicon Valley BancVentures, L.P.",-
PhotoPoint.com,04/01/2001,C900809429,7384,812921,5,0.79,9.30,3,Foundry Group LLC,SOFTBANK Technology Ventures V,0.39
PhotoPoint.com,04/01/2001,C900809429,7384,812921,5,0.79,9.30,3,U.S. Venture Partners,"U.S. Venture Partners VI, L.P.",0.38
PhotoPoint.com,04/01/2001,C900809429,7384,812921,5,0.79,9.30,3,Undisclosed Firm,Undisclosed Fund,-
Photothera Inc,10/29/2001,C901175704,3845,334510,1,1.50,8.00,2,California Technology Ventures L L C,California Technology Ventures LLC - Unspecified Fund,-
Photothera Inc,10/29/2001,C901175704,3845,334510,1,1.50,8.00,2,Hamilton Bioventures LP,Hamilton BioVentures,-
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Boston Millennia Partners,"Boston Millennia Partners, L.P.",1.26
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Care Capital LLC,"Care Capital Investments, L.P.",4.00
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Kestrel Management LLC,"Kestrel Venture Partners, LP",0.28
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Kestrel Management LLC,"Mass Ventures Equity Fund, LP",0.25
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Merck Capital Ventures LLC,Merck Capital Ventures,-
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Rho Capital Partners Inc,Rho Ventures IV,-
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Sightline Partners LLC,"SightLine Healthcare Fund III, L.P.",1.02
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Undisclosed Firm,Undisclosed Fund,-
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Undisclosed Firm,Undisclosed Fund,-
Pht Corp,05/30/2001,C900591869,7372,334611,3,23.50,52.58,10,Undisclosed Firm,Undisclosed Fund,-
"PhyFlex Networks, Inc.",05/01/2001,C901161366,3661,335921,1,64.00,124.88,3,General Catalyst Partners LLC,General Catalyst Partners,-
"PhyFlex Networks, Inc.",05/01/2001,C901161366,3661,335921,1,64.00,124.88,3,Polaris Venture Partners,"Polaris Venture Partners III, L.P.",23.98
"PhyFlex Networks, Inc.",05/01/2001,C901161366,3661,335921,1,64.00,124.88,3,Sofinnova Ventures Inc,Sofinnova Venture Partners V,5.00
Physiomics PLC,08/01/2001,C900664970,8731,541712,1,0.36,5.74,2,Undisclosed Firm,Undisclosed Fund,-
Physiomics PLC,08/01/2001,C900664970,8731,541712,1,0.36,5.74,2,Energiser Investments PLC,World Life Sciences PLC,-
Picarro Inc,04/06/2001,C901375725,3823,335999,3,36.00,102.33,2,Undisclosed Firm,Undisclosed Fund,-
Picarro Inc,04/06/2001,C901375725,3823,335999,3,36.00,102.33,2,Weston Presidio Capital,"Weston Presidio Capital IV, L.P.",4.92
"Pico Communications, Inc.",02/28/2001,C901194255,-,-,2,3.20,20.00,4,"KLM Capital Management, Inc.","KLM Capital Management, Inc. - Unspecified Fund",-
"Pico Communications, Inc.",02/28/2001,C901194255,-,-,2,3.20,20.00,4,DOTCOM VENTURES L P,"Prospero Ventures, LP -Unspecified Fund",0.25
"Pico Communications, Inc.",02/28/2001,C901194255,-,-,2,3.20,20.00,4,Undisclosed Firm,Undisclosed Fund,-
"Pico Communications, Inc.",02/28/2001,C901194255,-,-,2,3.20,20.00,4,UOB Venture Management Pte Ltd,"UOB Venture Management Pte., Ltd. - Unspecified Fund",-
Pine Photonics Communication,08/02/2001,C901177028,3663,334220,1,20.00,33.00,5,Hotung International Co Ltd,Baotung Venture Capital Corporation,-
Pine Photonics Communication,08/02/2001,C901177028,3663,334220,1,20.00,33.00,5,Hotung International Co Ltd,Chung San,-
Pine Photonics Communication,08/02/2001,C901177028,3663,334220,1,20.00,33.00,5,Hotung International Co Ltd,Chung San II,-
Pine Photonics Communication,08/02/2001,C901177028,3663,334220,1,20.00,33.00,5,Honho Investment Consulting Co,"Hontung Venture Capital Company, Ltd.",2.00
Pine Photonics Communication,08/02/2001,C901177028,3663,334220,1,20.00,33.00,5,Hotung International Co Ltd,KC Venture Capital Corporation,-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Bessemer Venture Partners,"Bessemer Venture Investors II, L.P.",0.24
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Bessemer Venture Partners,"Bessemer Venture Partners V, L.P.",2.68
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Bessemer Venture Partners,"BIP 2001, L.P.",0.48
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,BlueStream Ventures LP,"BlueStream Ventures, L.P.",10.00
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Bessemer Venture Partners,BVE 2001 LLC,0.60
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Charles River Ventures LLC,Charles River Partnership X,3.72
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Windspeed Ventures,Comdisco Ventures Fund A LLC,-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,GATX VENTURES INC,GATX Ventures - Unspecified Fund,-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Silicon Valley Bancventures LP,"SVB Strategic Investors Fund, L.P.",-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Undisclosed Firm,Undisclosed Fund,-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Undisclosed Firm,Undisclosed Fund,-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Undisclosed Firm,Undisclosed Fund,-
"Pirus Networks, Inc.",03/28/2001,C901378707,7373,541512,2,27.00,235.00,13,Globespan Capital Partners,Undisclosed Fund,-
"Pirus Networks, Inc.",05/25/2001,C901378707,7373,541512,3,13.00,248.00,2,Globespan Capital Partners,Globespan Capital Partners - Unspecified Fund,9.50
"Pirus Networks, Inc.",05/25/2001,C901378707,7373,541512,3,13.00,248.00,2,Globespan Capital Partners,Undisclosed Fund,-
Pixim Inc,10/29/2001,C900413348,3674,561621,3,16.50,108.00,6,China Development Industrial Bank,China Development Financial Holding Corp - Unspecified Fund,-
Pixim Inc,10/29/2001,C900413348,3674,561621,3,16.50,108.00,6,Mayfield Fund,Mayfield XI Qualified,-
Pixim Inc,10/29/2001,C900413348,3674,561621,3,16.50,108.00,6,Mitsubishi Corp,Mitsubishi Corporation - Unspecified Fund,-
Pixim Inc,10/29/2001,C900413348,3674,561621,3,16.50,108.00,6,Mohr Davidow Ventures,Mohr Davidow Ventures - Unspecified Fund,-
Pixim Inc,10/29/2001,C900413348,3674,561621,3,16.50,108.00,6,Synopsys Inc,"Synopsys, Inc. (Corporate Fund)",-
Pixim Inc,10/29/2001,C900413348,3674,561621,3,16.50,108.00,6,Undisclosed Firm,Undisclosed Fund,-
"Pixxures, Inc.",09/24/2001,C901289405,7335,541922,2,6.50,18.00,5,Altira Group LLC,Altira Group LLC - Unspecified Fund,1.00
"Pixxures, Inc.",09/24/2001,C901289405,7335,541922,2,6.50,18.00,5,Quest Capital Partnership,Quest Capital Partnership - Unspecified Fund,-
"Pixxures, Inc.",09/24/2001,C901289405,7335,541922,2,6.50,18.00,5,Sequel Venture Partners,"Sequel Limited Partnership II, L.P.",2.42
"Pixxures, Inc.",09/24/2001,C901289405,7335,541922,2,6.50,18.00,5,Sequel Venture Partners,Sequel Venture Partners - Unspecified Fund,2.30
"Pixxures, Inc.",09/24/2001,C901289405,7335,541922,2,6.50,18.00,5,Undisclosed Firm,Undisclosed Fund,-
